"","V1","V2"
"1","Basic Materials",0.742481203007519
"2","Basic Materials",0.674812030075188
"3","Basic Materials",0.573308270676692
"4","Basic Materials",0.595864661654135
"5","Basic Materials",0.530075187969925
"6","Basic Materials",0.535714285714286
"7","Basic Materials",0.62218045112782
"8","Basic Materials",0.588345864661654
"9","Basic Materials",0.595864661654135
"10","Basic Materials",0.642857142857143
"11","Basic Materials",0.669172932330827
"12","Basic Materials",0.652255639097744
"13","Basic Materials",0.648496240601504
"14","Basic Materials",0.648496240601504
"15","Basic Materials",0.639097744360902
"16","Conglomerates",0.444444444444444
"17","Conglomerates",0.333333333333333
"18","Conglomerates",0.444444444444444
"19","Conglomerates",0.333333333333333
"20","Conglomerates",0.555555555555556
"21","Conglomerates",0.444444444444444
"22","Conglomerates",0.333333333333333
"23","Conglomerates",0.333333333333333
"24","Conglomerates",0.333333333333333
"25","Conglomerates",0.222222222222222
"26","Conglomerates",0.444444444444444
"27","Conglomerates",0.444444444444444
"28","Conglomerates",0.333333333333333
"29","Conglomerates",0.444444444444444
"30","Conglomerates",0.444444444444444
"31","Consumer Goods",0.568513119533528
"32","Consumer Goods",0.513119533527697
"33","Consumer Goods",0.41399416909621
"34","Consumer Goods",0.457725947521866
"35","Consumer Goods",0.457725947521866
"36","Consumer Goods",0.463556851311953
"37","Consumer Goods",0.472303206997085
"38","Consumer Goods",0.481049562682216
"39","Consumer Goods",0.43731778425656
"40","Consumer Goods",0.475218658892128
"41","Consumer Goods",0.434402332361516
"42","Consumer Goods",0.399416909620991
"43","Consumer Goods",0.396501457725948
"44","Consumer Goods",0.425655976676385
"45","Consumer Goods",0.39067055393586
"46","Financial",0.545580110497238
"47","Financial",0.56767955801105
"48","Financial",0.449930939226519
"49","Financial",0.525552486187845
"50","Financial",0.523825966850829
"51","Financial",0.534875690607735
"52","Financial",0.569060773480663
"53","Financial",0.577348066298343
"54","Financial",0.568024861878453
"55","Financial",0.597375690607735
"56","Financial",0.563190607734807
"57","Financial",0.500690607734807
"58","Financial",0.492058011049724
"59","Financial",0.501381215469613
"60","Financial",0.467196132596685
"61","Healthcare",0.516279069767442
"62","Healthcare",0.502325581395349
"63","Healthcare",0.443410852713178
"64","Healthcare",0.471317829457364
"65","Healthcare",0.451162790697674
"66","Healthcare",0.452713178294574
"67","Healthcare",0.503875968992248
"68","Healthcare",0.469767441860465
"69","Healthcare",0.409302325581395
"70","Healthcare",0.427906976744186
"71","Healthcare",0.409302325581395
"72","Healthcare",0.375193798449612
"73","Healthcare",0.368992248062016
"74","Healthcare",0.393798449612403
"75","Healthcare",0.37984496124031
"76","Industrial Goods",0.612307692307692
"77","Industrial Goods",0.473846153846154
"78","Industrial Goods",0.436923076923077
"79","Industrial Goods",0.486153846153846
"80","Industrial Goods",0.433846153846154
"81","Industrial Goods",0.470769230769231
"82","Industrial Goods",0.473846153846154
"83","Industrial Goods",0.498461538461538
"84","Industrial Goods",0.510769230769231
"85","Industrial Goods",0.504615384615385
"86","Industrial Goods",0.501538461538461
"87","Industrial Goods",0.409230769230769
"88","Industrial Goods",0.44
"89","Industrial Goods",0.427692307692308
"90","Industrial Goods",0.415384615384615
"91","Services",0.556894243641232
"92","Services",0.522088353413655
"93","Services",0.427041499330656
"94","Services",0.51673360107095
"95","Services",0.49665327978581
"96","Services",0.488621151271754
"97","Services",0.518072289156627
"98","Services",0.527443105756359
"99","Services",0.484605087014726
"100","Services",0.528781793842035
"101","Services",0.457831325301205
"102","Services",0.414993306559572
"103","Services",0.443105756358768
"104","Services",0.436412315930388
"105","Services",0.441767068273092
"106","Technology",0.589211618257261
"107","Technology",0.546334716459198
"108","Technology",0.401106500691563
"109","Technology",0.493775933609959
"110","Technology",0.489626556016597
"111","Technology",0.551867219917012
"112","Technology",0.544951590594744
"113","Technology",0.5283540802213
"114","Technology",0.488243430152144
"115","Technology",0.524204702627939
"116","Technology",0.479944674965422
"117","Technology",0.428769017980636
"118","Technology",0.441217150760719
"119","Technology",0.449515905947441
"120","Technology",0.394190871369295
"121","Utilities",0.537037037037037
"122","Utilities",0.5
"123","Utilities",0.342592592592593
"124","Utilities",0.62962962962963
"125","Utilities",0.435185185185185
"126","Utilities",0.518518518518518
"127","Utilities",0.601851851851852
"128","Utilities",0.731481481481482
"129","Utilities",0.537037037037037
"130","Utilities",0.712962962962963
"131","Utilities",0.601851851851852
"132","Utilities",0.407407407407407
"133","Utilities",0.444444444444444
"134","Utilities",0.462962962962963
"135","Utilities",0.361111111111111
